,Title,Link
16,"September 7-8, 2017 Not-for-Profit Advisory Committee Meeting Minutes",http://www.fasb.org/page/ShowPdf?path=20170907 Meeting Min final draft.pdf
17,"September 7-8, 2017 Not-for-Profit Advisory Committee Meeting Handout",http://www.fasb.org/page/ShowPdf?path=20170907 NAC Public Materials.pdf
18,,http://www.fasb.org/page/ShowPdf?path=SBAC-ALL-201411 All Materials Public.pdf
19,EITF Issue No. 17-A Issue Summary No. 1,http://www.fasb.org/page/ShowPdf?path=EITF_17-A_IssueSum1_2017_07_20.pdf
20,"March 12-13, 2018 Not-for-Profit Advisory Committee Meeting Handout",http://www.fasb.org/page/ShowPdf?path=NAC Public Materials.pdf
21,"Report of the FASB Chairman - July 1, 2016 - September 30, 2016",http://www.fasb.org/page/ShowPdf?path=July-September 2016 FASB Chairman's Report.pdf
22,"NAC Meeting Minutes - March 12-13, 2018",http://www.fasb.org/page/ShowPdf?path=20180312 NAC Meeting Min final.pdf
23,,http://www.fasb.org/page/ShowPdf?path=2011-230 INDEX Alpha 2012.05.17.pdf
24,"December 14, 2017",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/fasac/fasac-meeting-recap/fasac-meeting-recap--december-14-2017.html
25,"FASAC Meeting Recap - December 14, 2017",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/about/fasac-meeting-recap--december-14-2017.html
26,"Report of the FASB Chairman - January 1, 2017 through March 31, 2017",http://www.fasb.org/page/ShowPdf?path=Jan-March 2017 FASB Chairman's Report for posting.pdf
27,"March 2-3, 2017 FASB Not-for-Profit Advisory Committee Meeting Minutes",http://www.fasb.org/page/ShowPdf?path=20170302 Meeting Min Draft.pdf
28,,http://www.fasb.org/page/ShowPdf?path=SBAC-ALL-201504 All files public.pdf
29,"September 13-14, 2018 Not-for-Profit Advisory Committee (NAC) Meeting Minutes",http://www.fasb.org/page/ShowPdf?path=20180913 NAC Meeting Minutes draft.v2.pdf
30,,http://www.fasb.org/page/ShowPdf?path=SBAC-ALL-201504 All files public.pdf
31,"September 13-14, 2018 Not-for-Profit Advisory Committee (NAC) Meeting Minutes",http://www.fasb.org/page/ShowPdf?path=20180913 NAC Meeting Minutes draft.v2.pdf
32,"October 12, 2017 EITF Meeting - EITF Issue 17-A Issue Summary No. 1, Supplement No. 1",http://www.fasb.org/page/ShowPdf?path=EITF_17-A_IssueSum1Sup1_2017_10_12.pdf
33,"November 9, 2017 Investor Advisory Committee Meeting Minutes","http://www.fasb.org/page/ShowPdf?path=IAC-MIN-20171109,0.pdf"
34,"April 13, 2022 FASB Board Meeting Handout",http://www.fasb.org/page/ShowPdf?path=BMHO20220413.pdf
35,REPORT OF THE FASB CHAIRMAN,http://www.fasb.org/page/ShowPdf?path=April-June_2015FASB_Chairman's_Report_for_Posting.pdf
36,,http://www.fasb.org/page/ShowPdf?path=0137- 1850-100 JOSEPH S. MARESCA.pdf
37,Microsoft Word - 09.30.10 FASB.doc,http://www.fasb.org/page/ShowPdf?path=1420- 1810-100 PENNSYLVANIA CREDIT UNION ASSOCIATION RICHARD T. WARGO.pdf
38,"April 13, 2022 FASB Board Meeting Handout",http://www.fasb.org/page/ShowPdf?path=BMHO20220413.pdf
39,"November 9, 2017",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/iac/meetingrecap/iac-meeting-recap--november-9-2017.html
40,,http://www.fasb.org/page/ShowPdf?path=34464.pdf
41,,http://www.fasb.org/page/ShowPdf?path=0083- 2011-150 PCUA JAMES J. MCCORMACK.pdf
42,"March 12-13, 2018",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/nac/nac-meeting-minutes/nac-meeting-recap--march-1213-2018--content.html
43,"March 3, 2023 Webinar - The Accounting for and Disclosure of Intangibles - Slide Presentation",http://www.fasb.org/page/ShowPdf?path=Intangibles Webinar Slides.pdf
44,"March 14, 2017 FASAC Meeting Handout",http://www.fasb.org/page/ShowPdf?path=Revised 575_1013_FASAC-ALL-201703+All+Meeting+Materials+public.pdf
45,,http://www.fasb.org/page/ShowPdf?path=EITF18-A.ED.014.CONNOR_GROUP_INC..pdf
46,"September 13-14, 2018",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/nac/meeting-recap/nac-meeting-recap--september-1314-2018.html
47,"March 15, 2022",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/fasac/fasac-meeting-recap/fasac-meeting-recap-march-15-2022.html
48,"TAG Meeting Highlights - February 11, 2016",http://www.fasb.org/page/ShowPdf?path=20160211 TAG Meeting Highlights.pdf
49,Meetings,http://www.fasb.org/page/pageContent?pageId=/pcc/PccMeetings.html
50,"May 25, 2021",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/iac/meetingrecap/iac-meeting-recap--may-25-2021.html
51,"IAC Meeting Recap - May 25, 2021",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/about/iac-meeting-recap--may-25-2021.html
52,"November 10, 2022 Small Business Advisory Committee Meeting Handout",http://www.fasb.org/page/ShowPdf?path=SBAC-MeetingHandout-20221110.pdf
53,,http://www.fasb.org/page/ShowPdf?path=EITF18-A.ITC.016.CONNOR_GROUP_INC.pdf
54,"NAC Meeting Recap - September 13-14, 2018",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/about/nac-meeting-recap--september-1314-2018.html
55,"Report of the FASB Chairman - October 1, 2018 through December 31, 2018",http://www.fasb.org/page/ShowPdf?path=October-December 2018 Final FASB ChairmanReport.pdf
56,Microsoft Word - FASB Comment Letter ASC 958 October 2017.docx,http://www.fasb.org/page/ShowPdf?path=NFPRR.ED.042.CONNOR GROUP INC..pdf
57,"September 13-14, 2018",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/nac/nac-meeting-minutes/nac-meeting-recap--september-1314-2018.html
58,D:\Neevia\in\2461.tif,http://www.fasb.org/page/ShowPdf?path=2461.pdf
59,"January 18, 2018 EITF Meeting - EITF Issue 17-A Issue Summary No. 1, Supplement No. 3",http://www.fasb.org/page/ShowPdf?path=EITF_17-A_IssueSum1Sup3_2018_01_18.pdf
60,"NAC Meeting Recap - March 12-13, 2018 - Content",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/about/nac-meeting-recap--march-1213-2018--content.html
61,Microsoft Word - CG Comment Letter - 2020-200 Share Price FINAL.docx,"http://www.fasb.org/page/ShowPdf?path=PCCSBCPE.ED.024.CONNOR GROUP INC.,0.pdf"
62,"May 2, 2019 Small Business Advisory Committee Meeting Handout",http://www.fasb.org/page/ShowPdf?path=May 2.pdf
63,,http://www.fasb.org/page/ShowPdf?path=LESTI.ED.018.CONNOR GROUP INC.pdf
64,,http://www.fasb.org/page/ShowPdf?path=SBAC-ALLMAT-20110510.pdf
65,,http://www.fasb.org/page/ShowPdf?path=NESBP.ED.023.CONNOR GROUP INC..pdf
66,,http://www.fasb.org/page/ShowPdf?path=ITD-UNS.UNS.001.JEFFERY M. KADET.pdf
67,"March 12-13, 2018",http://www.fasb.org/page/pageContent?pageId=/about-us/advisory-groups/nac/meeting-recap/nac-meeting-recap--march-1213-2018.html
68,,http://www.fasb.org/page/ShowPdf?path=LE.ED.022.CONNOR GROUP INC.pdf
69,FASB Taxonomy Advisory Group Meeting,http://www.fasb.org/page/ShowPdf?path=20150312 Meeting Highlights updated by 20150611.pdf
70,,http://www.fasb.org/page/ShowPdf?path=0588- 1820-100 DEUTSCHE BANK AG CYNTHIA MUSTAFA.pdf
71,Microsoft Word - Position Paper ED Leases 2013 NVL (English version).docx,http://www.fasb.org/page/ShowPdf?path=LEASES2.ED.0118.NVL PETER-JAN BENTEIN.pdf
72,"XBRL TAG Meeting Highlights - March 22, 2018",http://www.fasb.org/page/ShowPdf?path=12-XBRLTAGMtg_20180322Highlights.pdf
73,FASB Taxonomy Advisory Group Meeting,http://www.fasb.org/page/ShowPdf?path=TAG November 13 2014 Meeting Highlights.pdf
74,FASB Taxonomy Advisory Group Meeting,http://www.fasb.org/page/ShowPdf?path=20150212 Meeting Highlights.pdf
75,"TAG Meeting Highlights - November 2, 2017",http://www.fasb.org/page/ShowPdf?path=TAG Meeting Highlights-November 2.pdf
76,,http://www.fasb.org/page/ShowPdf?path=24207.pdf
77,"XBRL TAG Meeting Highlights - July 19, 2018",http://www.fasb.org/page/ShowPdf?path=20180719Highlights.pdf
78,,http://www.fasb.org/page/ShowPdf?path=52629.pdf
79,Comment Letters,http://www.fasb.org/page/pageContent?pageId=/projects/commentletter.html
